,text,sentiment,labels,ca_related
32,Greece imposes monthly fines of 100 euros on the over-60s who refuse a Covid vaccine - CNBC https://t.co/wRZBpGcI5x,pos,covid-controversy,non-ca
33,My heart rate is always higher when exercising the day after a vaccine. Proof it’s working! Our immune systems are so amazing 🙌,pos,vax-efficiency,na
34,Call me cynical but they gained a massive boost in the polls for their previous vaccine programme. Probably the only thing they've done well (albeit with a massive effort from others). Surely their motivation isn't mostly political? https://t.co/Z55DLgZaIr,pos,covid-controversy,na
35,the sexy person urge to keep up with your vaccine boosters https://t.co/CP665oNzCQ,pos,pandemic-logistics,na
36,if you don’t wanna take the vaccine that’s fine but at least wear a fucking mask….??? https://t.co/deeotVulAK,pos,pandemic-logistics,na
37,"Republicans hoping to shove more people into the grave - like recently deceased head of @Daystar #MarcusLamb - by deceiving people about importance/safety of vaccine mandates. Must be some reason they want to get rid of loony, deluded #GOPers...but WHY? https://t.co/dKGCLcWNPT",pos,covid-controversy,na
38,"Africa lags behind, not only due to vaccine access issues, but also well-founded mistrust. Trust and access must be built simultaneously - with the emphasis on rebuilding trust.

Tracking Coronavirus Vaccinations Around the World https://t.co/cqeoOVn4bG 
1/",pos,covid-controversy,non-ca
39,Pfizer’s Covid-19 vaccine was 100% effective in kids in longer-term study https://t.co/Nb89bt5tJ5 via @statnews,pos,vax-efficiency,na
40,MANDATE CAVE: White House Suspends Vaccine Mandate for Fed Employees https://t.co/1V1txR233g,pos,pandemic-legal,non-ca
41,"Well said, well written, ⁦@kathysheridanIT⁩ 👏🏻 the aggression, sense of entitlement and lack of manners and patience shown  by many in this country is truly breathtaking - Complaints over vaccine queues a sad reflection on entitled, negative public https://t.co/9KgczoTL9g",pos,covid-controversy,na
42,"Europe aims at sharing at least 700 million doses of vaccines by mid-2022 with low- and middle-income countries. We are investing heavily in vaccine manufacturing in Africa,” said President von der Leyen at the World Health Assembly this morning.
https://t.co/B30GXYuX8z https://t.co/fUv9qTgFf1",pos,pandemic-logistics,non-ca
43,"ZERO TOLERANCE: #Pentagon chief #LloydAustin says #NationalGuard members who refuse to get #vaccinated won't be allowed to train, affecting pay and Guard status
@politico
-Southern politics are on the menu at ChickenFriedPolitics.com-
https://t.co/zifGyyDgcA",pos,pandemic-logistics,non-ca
44,"The @WHO warns that while many uncertainties remain about the Omicron variant, its emergence shows the #COVID19 pandemic is clearly not over yet.

""The longer vaccine inequity persists, the more opportunity this virus has to spread and evolve.""

https://t.co/4jfUz5WyFf",pos,covid-new-variant,na
45,"Today after reaching Dillibari &amp; Deroi Tea Garden of the Tingkhong constituency, as part of the #HarGharDastak campaign to accomplish 100% vaccination, visited the ongoing covid vaccine camp at the local Anganwadi Centre.

1/2 https://t.co/NNtSUVcoLB",pos,pandemic-logistics,non-ca
46,"Marcus Lamb, a prominent Christian broadcaster known for his outspoken opposition to COVID-19 vaccines, has died after contracting the virus.

https://t.co/M2xO49bccB https://t.co/KZ1XdS1EmF",pos,covid-controversy,na
47,I recently had a minor hospital procedure. Every single healthcare worker told me they were vaccinated. I cannot tell you how much comfort that gave me as I had to take off my mask so that I could be anesthetized. #COVID19 #GetVaccinated #VaccineMandate https://t.co/V1MpCYpJFh,pos,covid-controversy,na
48,"Good morning. Daily advice
1) Stop listening to/getting your information from know-nothing politicians
2) Listen to the scientific/medical consensus and ask us (the doctors/scientists) about the vaccine

#GetVaccinated, #WearAMask, and have a good day",pos,covid-controversy,na
49,"Free @krispykreme vaccine doughnut #175! If you get vaccinated today, you’ll build more and more immunity every day before your second dose around Christmas! It’s like an advent calendar whose last box contains a week’s worth of free doughnuts! Get vaxxed! https://t.co/1OV67QIJo3",pos,covid-controversy,na
50,loading up a bunch of blow darts with vaccine doses and indulging people who don't wear masks,pos,covid-controversy,na
51,🇺🇦 government is disposing of million doses of the vaccine instead of allowing Ukrainians to be vaccinated with a booster dose. And all this is happening against the background of the spread of the strain Omicron in Europe. Why do 🇪🇺 &amp; 🇺🇸 revaccinate their citizens but 🇺🇦doesn't?,pos,pandemic-logistics,non-ca
52,It’s wonderful to see peoples Prince Harry entreat for a PEOPLES VACCINE .,pos,pandemic-logistics,non-ca
53,Pfizer plans to apply for FDA authorization this week for a booster COVID-19 vaccine for 16- and 17-year-olds. https://t.co/GaT1hEeuIS,pos,pandemic-logistics,na
54,Does AstraZeneca's COVID vaccine give longer-lasting protection than mRNA shots? via @TC_Africa https://t.co/wBJaaxBvYf,pos,vax-efficiency,na
55,"Three Covid vaccine doses 'enough to protect against omicron variant', early research suggests.

Israel's health minister says 'there is no need for panic' adding those people given valid vaccinations 'are most likely protected.

https://t.co/hpT35xu08h",pos,vax-efficiency,non-ca
56,"New @NatureImmunol paper from @TaoDongGroup highlights how a T cell response to the viral nucleoprotein can shape COVID disease severity. 

They suggest that the nucleoprotein could be a useful target for future vaccine design.

https://t.co/0kiucW8o0g",pos,vax-efficiency,na
57,"Over the summer into this fall, new #COVID19 cases have been on the rise. 175 new cases in Nov. mirrors numbers seen in Spring 2021. Be cautious this holiday season to protect loved ones.
 ✅Get your vaccine or booster
 ✅Keep gatherings small
 ✅Get tested https://t.co/ZIli4Tb44x",pos,vax-efficiency,na
58,Group of 7 (G7): End COVID19 Vaccine Injustice now! Vaccine delayed is a vaccine denied! - Sign the Petition! https://t.co/SjMb4guu4Y via @ChangeorgSA,pos,pandemic-legal,na
59,"Book your free flu or COVID-19 vaccine on 2 December for maximum protection while spending time with loved ones this festive season.

Check your eligibility and find out how to book at https://t.co/3bonQDZyBi https://t.co/LRMsXvHkRh",pos,pandemic-logistics,na
60,"latest: Serum Institute of India has sought from India's drug regulator DGCI approval for Covishield as a booster dose citing adequate stock of the vaccine in the country and a demand for a booster shot due to the emergence of new coronavirus variants, official sources said.",pos,pandemic-logistics,non-ca
61,"Anti-vaccine Christian broadcaster Marcus Lamb dies from Covid-19
#Science will save most of you, #Religion will save none of you. https://t.co/c8js1h0f5O",pos,covid-controversy,na
62,This is what every nation with sufficient supply of #vaccine should do. https://t.co/K1t7qWsow6,pos,pandemic-logistics,na
63,"The best way, in my opinion, to overcome vaccine resistance is to listen to the reasons.

I found out that some people are actually afraid of being injected with the virus. A reassurance of what is in the current covid vaccines can help.

A 1 shot vaccine preferably.",pos,covid-controversy,na
64,"$GOVX $GOVXW GeoVax Presents COVID-19 Vaccine Data at the World Vaccine &amp; Immunotherapy Congress
https://t.co/wZCzfCdp0B",pos,pandemic-logistics,na
65,"Booster shots today could fight omicron tomorrow 
Don’t expect ⁦@FoxNews⁩ viewers.. https://t.co/Zs8B6aHG6F",pos,vax-efficiency,na
66,"These crap ass and they call themselves trash transphobic, ableism, sexist, and homophobic, and they won't get vaccinated cause their terrified of whatever demons are in their head and they spread vaccine hesitancy all around the world, people are tired of them, but compassion ok",pos,covid-controversy,na
67,"Moundsville Pharmacy’s immunization team was in full character as Flora, Fauna, and Merryweather - collectively known as the Three Good Fairies from Sleeping Beauty - providing COVID vaccine boosters to the Marshall County Schools team.
#cpesnwv
#flipthepharmacy https://t.co/W04Nr3lHjy",pos,pandemic-logistics,non-ca
68,"To help plan for safe travels this holiday season, @bxchen shares some of the simplest ways to carry your Covid-related health data, including vaccine passports and test results, on a smartphone. https://t.co/WEAwNp8YsD",pos,pandemic-logistics,na
69,"My patience with the unvaccinated is wearing so thin. I friend who has just got the booster said they understand people being nervous because ‘this vaccine… was it rushed, was it tested enough, we don’t know what’s in it’. 

Me just like…and they have had the jab! https://t.co/1gH9P4OVBb",pos,covid-controversy,na
70,"📣A pop-up #Covid19 vaccine clinic is taking place tomorrow (Thurs 2 Dec) at Wardleworth Community Centre, 1pm-3pm. First #Pfizer for residents aged 16+, or second if 8 weeks or more since your first dose. No appointment needed. https://t.co/hHcGGEyv6q https://t.co/f5CJpXu0KC",pos,pandemic-logistics,na
71,"The #Covid19 #Vaccine Latest Updates in the #UAE 
#ChoosetoVaccinate
#TogetherWeRecover
#اللقاح_طريقنا_للتعافي https://t.co/XIj6O2sycq",pos,pandemic-logistics,non-ca
72,"#EconWatch: Unsurprisingly, #SouthAfrica and #Botswana have low vaccination rates and high Omicron case rates. Low vaccine rates in developing countries are primarily a function of government incompetence &amp; the locals mistrust of government. https://t.co/bAi5mIpCsU",pos,pandemic-logistics,non-ca
73,"Karma is a bitch.
Marcus Lamb, head of Daystar, a large Christian network that discouraged vaccines, dies after getting covid-19

https://t.co/iqZFxN2mz3",pos,covid-controversy,non-ca
74,"National Guard troops refusing vaccine will lose pay, Pentagon says, in warning shot to GOP-led states https://t.co/28J3FQwSJR",pos,covid-controversy,non-ca
75,"Excellent point. How can anyone claim to want to protect the sanctity of life and sit on their hands with this issue? I’ll go one further than he did, how can anyone defend the sanctity of life yet oppose Covid vaccines, and outlaw vaccine mandates? @brad_dickson @janekleeb https://t.co/Dfd5Dqb8Fj",pos,covid-controversy,na
76,Federal Judge Expands Healthcare Worker Vaccine Mandate Injunction to Apply Nationally - https://t.co/0eg3dqsNCc,pos,pandemic-legal,na
77,"Swiss Re Institute experts have cautioned that vaccine inequity, along with uneven vaccination rates even in countries with lots of shots, add to pandemic risks like the emergence of new variants. They're keeping an eye on Omicron. https://t.co/UFWEMD3tw1 https://t.co/5O4AbY7inE",pos,pandemic-logistics,non-ca
78,"Three Covid vaccine doses 'enough to protect against omicron variant', early research suggests https://t.co/Pz5PP9Znef",pos,vax-efficiency,na
79,"Jacob, age 6, marched right up to the counter, gave his name and address, and said, ""I've decided to get my COVID-19 vaccine because I just really want to be safe!"" 👍

The CVC—located inside @MallatJC—is open Tues – Thurs from 11 a.m. to 6 p.m.. Walk-ins welcome! #ThisIsOurShot https://t.co/iR4VnaBL5i",pos,covid-controversy,non-ca
80,"CNBC cites a study published in Science that immunity from one RNA-spike protein vaccine dropped from 86% to 43% from February to October and another RNA-spike protein vaccine from 89% to 58%, while an Adenovirus vector vaccine fell from 86% to 13%. RT",pos,vax-efficiency,ca
81,"Global vaccine inequity: Only around 5 percent of people living in low-income countries have gotten even a single #vaccine dose, according to the Kaiser Family Foundation. (via @nytimes) #covax #Covid19",pos,pandemic-logistics,na
82,"""It's time to admit that we have to go to war against COVID,"" Cramer said on his business program ""Mad Money"" on Monday. ""Require vaccination universally. Have the military run it.""
CNBC host suggests nationwide vaccine mandate: 'Have the military run it' https://t.co/xVQMgQkLSx https://t.co/gucIRhv9Gm",pos,pandemic-legal,ca
83,"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight
https://t.co/l6UA72XMxI Another deniar demise?",pos,covid-controversy,na
84,Televangelist Marcus Lamb Who Called Vaccine Mandate 'Sin' Against God Dies Of COVID https://t.co/GkR9c4qN43,pos,pandemic-legal,non-ca
85,"Governor Hochul Announces First Round of Winners for New 'Vaccinate, Educate, Graduate' Vaccine Incentive Program for 5- To 11-Year-Olds to win a Full SUNY or CUNY Scholarship
https://t.co/gZJxwykvuN",pos,pandemic-logistics,non-ca
86,I got my second vaccine shot and that shit gave me pneumonia fuck that covid shot shit,pos,vax-efficiency,na
87,"Booster vaccine doses will be available on the NHS for people most at risk from COVID-19 who have had a 2nd dose of a vaccine at least 6 months ago.
Vaccination will help to protect you and your loved ones. The more people are vaccinated the better things will be.#boosterjab https://t.co/LRvwIApQ6L",pos,pandemic-logistics,na
88,"During this season of giving, remember that getting a vaccine is one of the best gifts you can give yourself, your family &amp; friends, and your community! https://t.co/1faD03TPhn https://t.co/aEFI1Cuxlz",pos,pandemic-logistics,na
89,"Much research remains to be done in order to ascertain the potential #vaccine resistance of the #omicron #variant, but it certainly seems prudent to get a #booster now before this gets ahead of us. We have got to finally learn the lessons of this #pandemic.",pos,covid-controversy,na
90,"CMS COVID-19 Vaccine Mandate For Staff On Hold Nationwide. Medicare providers should continue to prepare to have policies and procedures ready so that if the government’s arguments prevail, they can quickly implement them. 
https://t.co/ItIBzKrrYG",pos,pandemic-legal,na
91,EU vaccine rollout for 5 to 11-year-olds brought forward https://t.co/Zkp3VGG2nD via @BBCNews,pos,pandemic-logistics,non-ca
92,"I saw a post earlier about someone claiming that they aren't sharing the death figures for unvaccinated people and its some sort of cover up.
I did 30 seconds of googling...Get the vaccine dummies #COVID19 https://t.co/biYVkunvfJ",pos,covid-controversy,na
93,I’m seeing so much Vaccine slander on my TL… just a friendly reminder to you airheads https://t.co/uMqNcOVtMg,pos,covid-controversy,na
94,Growing number of Texas Republicans want 4th special session to pass COVID-19 vaccine mandate ban #SmartNews  https://t.co/SsaHanamXV,pos,pandemic-legal,na
95,"People are arguing that the vaccine saving lives for a virus with an already high 99% survival rate is the reason to take it. 
Excuse me while I go bash my fucking head-in in order to understand their reasoning.",pos,vax-efficiency,na
96,"Nothing has made me want a new vax more...
*WHO OFFICIAL SAYS THERE IS NO NEED TO DEVELOP A NEW VACCINE, VACCINE MAKERS SHOULD ONLY DO MINOR ADJUSTMENTS TO CURRENT VACCINES*WHO OFFICIAL SAYS SOME OF THE EARLY INDICATIONS IS THAT MOST OMICRON CASES ARE MILD, NO SEVERE CASES",pos,vax-efficiency,na
97,"Vaccine mandates were never unthinkable to me, because WE ALREADY HAVE THEM.
#COVID19https://t.co/xB90vIpE9j",pos,pandemic-legal,na
98,White House: DOJ Will Defend Government's Authority to Promote Vaccine Requirement https://t.co/0qrMIoMbjD,pos,pandemic-logistics,non-ca
99,"#firstdoseFpizerVaccine
thanks god for make it good and safe my first vaccine in marikina city❤😇 https://t.co/i6WybYmOji",pos,pandemic-logistics,non-ca
100,"Marcus Lamb, the founder of the Daystar Christian network and #Alabama’s first Christian TV network, WMCF-TV in Montgomery, died from complications of COVID-19, the network announced Tuesday. Lamb, 64, was an outspoken COVID vaccine skeptic.  https://t.co/V0mSKX45E1",pos,covid-controversy,non-ca
101,That second vaccine tore me up last night. Didn’t sleep and threw up all night,pos,vax-efficiency,na
102,John Nkengasong has played a key role in acquiring 400 million Covid vaccines for Africa https://t.co/NsK5CwOP8E,pos,pandemic-logistics,non-ca
103,"24,744 doses of #COVID19 vaccine were given in the last 24 hours, to reach a total of 21,895,945 doses, with a distribution rate of 221.39 doses per 100 people. A percentages of 100% have received 1 dose and 90.49% is fully vaccinated of the population.
#TogetherWeRecover https://t.co/rZUo9PxAYz",pos,pandemic-logistics,na
104,"Pfizer vaccine will be available at our Gaborone Drop In Centre tomorrow. Unfortunately, only those getting their first dose will be assisted until further communication.",pos,pandemic-logistics,non-ca
105,"Need to raise further fear about not getting jabbed? Just lump in all COVID infections from before there was a vaccine to come to the conclusion that ""99.98% of [Indiana] COVID-19 deaths"" occurred among the unvaccinated since March 2020.
https://t.co/ySTEeBWOan https://t.co/VJoM4eMauA",pos,covid-controversy,non-ca
106,"Register for the 12/11 COVID-19 Vaccine clinic at James Blair from 10 am – 1:30 pm. The clinic is offering vaccines for students 5-11, students 12 years or older, their families and WJCC employees. To register and learn more, visit https://t.co/7l5YVVJtaL.",pos,pandemic-logistics,non-ca
107,It's amazing to think the federal govt had this authority in the first place... #VaccineMandate #alpolitics https://t.co/1vNeyQUsiz,pos,pandemic-legal,na
108,There are literally a million other things in this world than can alter your dna in more drastic ways than an mrna vaccine ever could https://t.co/iX6Da5T1xY,pos,covid-controversy,na
109,"A man who damaged a COVID-19 vaccination centre in Gorleston, preventing more than 500 people to get vaccinated, has been jailed for 12 weeks. Read more &gt; https://t.co/aFJ2eWo2XK https://t.co/mUJBKOQoSR",neut,pandemic-legal,non-ca
110,Vaccine Hesitancy Hurts Covid Fight in Poorer Countries - The New York Times https://t.co/R0d2iOL7wv,neut,pandemic-logistics,non-ca
111,This communist man says you're fascist if you don't take a vaccine. 🤡🐑🤡 https://t.co/9LCnQGrBx8 https://t.co/HOXMcKC5Pi,neut,covid-controversy,na
112,"Moderna and Pfizer/BioNTech working to make vaccine for Omicron variant and ""should know within a couple of weeks whether the vaccines need to be changed. If so, both Moderna and Pfizer-BioNTech have said the next version should be ready by early next year."" Bloomberg 12/1/21",neut,vax-efficiency,na
113,"Social approval can be an important factor in an individual’s decision to get vaccinated. Our new guidance explores this phenomenon and other aspects of the social and behavioral science behind vaccine decisions.

Learn more: https://t.co/V2tFSQNYVF #publichealth #MedTwitter https://t.co/NFnjagXhyq",neut,pandemic-logistics,na
114,More   VACCINATED are getting  sick  then unvaccinated  ! Remember when you were  told get VACCINATED and you're  protected against  covid!!!now it's  well you can still get Covid and spread it  but it won't  be as bad! They lied then and https://t.co/o3JXttg5p1 VACCINE  for,neut,vax-efficiency,na
115,"#Israel has said that early research suggests two to three doses of a #Covid vaccine are effective against the #omicron variant which has alarmed scientists worldwide.  The country's health minister said that there was ""room for optimism"" that current vaccines worked on omicron.",neut,vax-efficiency,non-ca
116,$OGEN - Oragenics shares results for COVID-19 vaccine candidate from second pre-clinical study https://t.co/csjA7kFo6B,neut,vax-efficiency,na
117,"Something is wrong with @HorizonHealthNB and @Gov_NB's vaccine rollout for 5-11.

The govt vaccine booking site wasn't updated for days after announcing we could book. If you visited the site during the briefing (as I did) you saw the following: https://t.co/pBtj6aXlh2",neut,pandemic-logistics,na
118,"Chicago Public Schools has fired a Marine Leadership Academy staffer after an anti-vaccine letter was sent to parents, CPS officials said.  https://t.co/OEgLu4B64e",neut,covid-controversy,non-ca
119,"‘Don’t freak out’ over omicron, says chief of covid vaccine
maker BioNTech  https://t.co/e8VrVqDJE9    
It's a notably different tone than taken by Moderna&amp;rsquo;s CEO St&amp;eacute;phane Bancel, who predicted existing vaccines wouldn't be as effective against omicron.",neut,vax-efficiency,na
120,"$GOVX December 01, 2021 09:00 ET : GeoVax Presents #COVID19 #Vaccine Data at the World Vaccine &amp; Immunotherapy Congress
#omicron #covidvariant #SARSCoV2 #lowfloater #NASDAQ
https://t.co/T1MNdraVM5",neut,pandemic-logistics,na
121,Moderna CEO Says COVID-19 Vaccine Likely Less Effective Against Omicron https://t.co/4nL5wtooyw via @dailycaller,neut,vax-efficiency,na
122,"Several Potential Crash Moments within 2 Weeks

Supreme Court Ruling - Roe vs. Wade
CR Funding
Debt Ceiling
Build Back Better Bill
Omicron
Vaccine/Antiviral Efficacy Updates
Jobs Report
Home Sales
Retail Sales
Manchin
The Unspoken Hearing",neut,covid-new-variant,na
123,Here's which Ottawa schools are hosting COVID-19 vaccine clinics for kids this week https://t.co/zYkRLwsGfT via @ctvottawa,neut,pandemic-logistics,ca
124,"Can the CEOs stop giving statements to protect their share prices from crashing, and share publically the data they base the claims on @BioNTech_Group #OmicronVarient  #vaccine_efficacy https://t.co/6biBc392YK",neut,vax-efficiency,na
125,"I'm not taking the vaccine because I'm young and healthy. I'm not anti vaccine and I don't believe in conspiracy theories.

However, I truly hope there is some thalidomide reaction waiting for all you smug arseholes who decide everyone who doesn't want vaccinated is an idiot :) https://t.co/xt1M8vROaf",neut,covid-controversy,na
126,"DeItaone: FRENCH GOVT SPOKESMAN ATTAL ON COVID: PEOPLE COMING INTO FRANCE FROM OUTSIDE THE EUROPEAN UNION WILL HAVE TO HAVE NEGATIVE COVID TEST, REGARDLESS OF VACCINE STATUS",neut,pandemic-logistics,non-ca
127,"For the record, I don't care whether you take the vaccine or not - your body, your choice.

It's also not important what your politics are - if we agree on the existential threat that Gender Ideology represents to us all, then we're good. We can sort all that out later!",neut,covid-controversy,na
128,"i just got vaccine today. 
me ; im shoooooooooo dizzy rn im not gonna do anything ,just stay in my bed

school reality ; tomorrow is ur final exams bahlul 😪",neut,vax-efficiency,na
129,"$GOVX #COVID19  #StocksToBuy  #lowfloater pre-market 🆙8% 🧐🚀
#omicron #SARSCoV2 #coronavirus #CovidVaccine 
PR just out https://t.co/T1MNdraVM5",neut,covid-new-variant,na
130,It's funny how @cnn and @msnbc are ignoring Nancy Mace's anti vaccine comments.,neut,covid-controversy,non-ca
131,Today is Tucson's deadline for city workers be vaccinated against COVID-19 and officials say 99% percent have received at least one shot or an exemption. https://t.co/FKuhAX4wLn,neut,pandemic-logistics,non-ca
132,"The emergence of the Omicron coronavirus variant has renewed debate about vaccine mandates and lockdowns - what will happen in Israel? 

https://t.co/yVYLQJNz0c",neut,pandemic-legal,non-ca
133,I’m feeling some side effects from the booster vaccine and I hate the fact I’m fighting myself whether or not I should head to class anyways,neut,vax-efficiency,na
134,"The looming shadow of the Omicron Covid-19 variant is growing darker over global #oil markets today following concerning news regarding vaccine effectiveness from the CEO of Moderna. #NGW 
https://t.co/gzM6MCJHdy https://t.co/Pw1P6JW81j",neut,vax-efficiency,na
135,Houston startup @brevitest has requested approval to distribute a 15-minute test that measures #COVID19 immunity. Important tool in making vaccine decisions. My latest: https://t.co/l0aV7dfnoy @HoustonChron #txlege,neut,vax-efficiency,non-ca
136,I have never nor will ever wish for vaccine recipients to suffer from a debilitating adverse reaction…. But I might take pleasure in reading that @jimmycarr has #myocarditis https://t.co/jVmW71oRAO,neut,vax-efficiency,na
137,"As of: Wed Dec 1 07:01:40 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",neut,pandemic-logistics,non-ca
138,"One might wonder why not even Fox News is explaining  (Informing) to the public ANY OF THIS. 
Especially with all the vaccine mandates costing lives and jobs. 
THIS IS A MUST READ. https://t.co/UeFQD7I3yE",neut,pandemic-legal,na
139,"With fears mounting over the new omicron variant, DeSantis neither has a plan to combat the variant nor any plans to lockdown the state. https://t.co/AO6LpThoY8",neut,covid-new-variant,non-ca
