,text,sentiment,labels,ca_related
23,"@nationalpost Those same SJW's are villainizing the unvaccinated.
Are they not vaccine hoarders?
They want to have it both ways.
As usual, like selfish, spoiled children.

Too bad for the shrill set the omicron variant is mildly infectious, even with South Africa's low 24% vaccination rate.",pos,covid-new-variant,ca
24,"@globeandmail Yeah, so much equity - let’s force the entire African continent into submission and take the vaccine, which they seem not to need, but we in the West need them to take. Interesting https://t.co/TuYhbqnh4O",pos,pandemic-logistics,non-ca
25,"@DanielBechtel7 @the_meghaning @nationalpost You @DanielBechtel7 keep misrepresenting the vaccine as something it isn’t to sell a mythological “natural” versus “drugs” dichotomy. You clearly have done no research into the vaccine itself, how it is administered, or what it does. You’ve just looked for out of context info.",pos,pandemic-logistics,ca
26,"@nationalpost @rupasubramanya ""So indeed, some countries are doing better than others. For instance, we have Angola, Eswatini, Gambia, Namibia, Rwanda, Uganda - countries that have used up 100% of their COVAX doses because they all had a robust vaccine rollout.""
https://t.co/MLxQ02u9RL",neut,pandemic-logistics,non-ca
27,"@nationalpost Doctors report world wide it's pretty calme
*but our fasicsts will probably lock down and destroy more of our lives...
...for a vaccine that doesn't work on any of these variants apparently https://t.co/vcHrhfEIST",neg,vax-efficiency,ca
28,@DanielBechtel7 @the_meghaning @nationalpost I feel that qualified medical professionals who are all saying take the vaccine are right. You are not giving solid health advice. In fact you are giving terrible health advice. Push ups alone are not exercising and refusing to take a vaccine shows a lack of health experience.,pos,covid-controversy,ca
29,"#giveusdata #cdnpoli #bcpoli #vanpoli
@charliesmithvcr @wengcouver @CBCNews @CTVNews @CP24 @globalnews @TorontoStar @globeandmail @thetyee @nationalpost @CKNW @news1130 #COVIDー19

The unfortunate reality is that the pandemic has become politicized
https://t.co/on4oaNgRFu",neut,covid-controversy,non-ca
30,@CBCNews Ok lets end the mandates and move on.  We know vaccinated spread.. they even spread omicron.  Vaccine companies still trying to figure out it's effectiveness. Might come out with variant specific. So let's stop pushing these genes for some real normlacy.,neg,covid-new-variant,ca
31,"@nationalpost @rupasubramanya ""In Rwanda, which has excelled in quickly using any vaccines received, delays in getting syringes are already proving problematic. Some donated shots have arrived just a month before expiration—and ... those vaccines are at risk of being wasted. ""
https://t.co/Qu5xWQRm4E",neut,pandemic-logistics,non-ca
32,"@Gunblaze69 @austyn1love @CBCNews I bring this ip all the time, but people want to ignore it.  I look at facts and since the vaccine it's a lot worse",neg,covid-controversy,ca
33,"@sajidjavid My advice, talk to Canada. Don't be afraid to mix a viral vector (primer) with an mRNA as a booster, otherwise I'll either refuse my dose or be part of a mixed vaccine study. 
@JustinTrudeau @CBCNews",pos,covid-controversy,ca
34,@francesca6365 @Golden_Pup Not enough noise yet. The teenagers are suffering that are not getting the vaccine. Mental health is an issue. @fordnation @TheTorontoSun @nationalpost @Bell_LetsTaIk @CBCNews @epdevilla Where are you on this?,pos,pandemic-logistics,ca
35,@CBCAlerts So this is more than evidence that vaccinated people can catch and spread the virus. Only vaccinated people can travel at this moment abroad canada. So what more proof they want that this vaccine is not working.,neg,vax-efficiency,ca
36,"@globeandmail Bet Dr Tam didn’t tell anyone!
Pfizer mRNA COVID-19 Biological Product. CDC Director Walensky states it no longer reliably prevents infection, re-infection, viral transmission or death from COVID-19. It is a failed “vaccine”. This was reaffirmed on 26 August, 2021",neg,vax-efficiency,ca
37,"@kishkitsch @PaulH551 @diana_c2021 @nationalpost Nov 24: SA says no more vaxs
Nov 26: WHO says new variant reported Nov 24
Nov 28: Heavy travel restrictions on SA... SA gets in line https://t.co/a519pWCJDx",neut,pandemic-logistics,ca
38,"@Peevedoffparent @kerrybehave @deezed1 @CBCNews Lol it’s people like you and their inability to have have a conversation to open dialog that’s the problem. 

Who cares if people have the vaccine, it’s not affecting your life. Get over it and grow up. 

Don’t want it, don’t get, you want it, get it. I don’t care. How’s that.",neut,covid-controversy,ca
39,@fur_ghost @CBCNews Are you that uneducated??  This variant is new... the covid vaccine was developed last year without this variation factored in. How can anyone predict the next variant???  Try reading a legitimate medical book before looking stupid,pos,vax-efficiency,ca
40,@sajanorth22 @MJPatchouli @CBCNews Perhaps those same Cons would like to disclose the vaccine status of ALL their members???,pos,vax-efficiency,ca
41,"@Superno_1111 @JimDurant1970 @CBCNews If for example you have a billion people not vaccinated where a million vaccinated have visited what are the odds of people being infected seeming we know with any vaccine you are not immune? For the immature name-calling...is that the only way you can make a point, seriously!",neg,vax-efficiency,ca
42,@NoMultiCult @l_stone @globeandmail 100% obviously vaccine and testing are not the answer.,neg,vax-efficiency,ca
43,@globeandmail Let’s ensure Proof of Vaccine &amp; masking is being enforced at ALL indoor gathering spaces ALL THE TIME … not just randomly.,pos,pandemic-logistics,ca
44,@BrineyBarbarian @Michell28462861 @CBCNews Does it depend on whether the current vaccine is effective against this particular variant?,neut,vax-efficiency,ca
45,"@Marilyn210156 @JaimeJaime905 @CBCNews Yep, so has the information about about the effectiveness of the vaccine.",neut,vax-efficiency,ca
46,"@M00NF0XX @nationalpost Canada will push hard on vaccines to use up supply and to look like they're being proactive, based off assumption ""some"" vax is better than no vax (without evidence). WHO suggesting vaccine will be far less effective as stopping spread. Vax pass is forever and new shots coming",neg,vax-efficiency,ca
47,@DanielBechtel7 @the_meghaning @nationalpost Says the guy who assumes people don’t want to exercise because they’re telling him that exercise alone is not better than taking a vaccine. Lol. You’re the one who is surface only and thinks working out is as good as vaccination.,pos,covid-controversy,ca
48,"@SirLance_ca @Chase35335829 @V01037988 @nationalpost There is legitimate vaccine... 🤷‍♂️

Why peoples all time forget history?",pos,pandemic-legal,ca
49,@picardonhealth @geoffreyyork @globeandmail I’m wondering if either of you have any thoughts on this transcript from @FaceTheNation. It seems that it’s a little more complicated than vaccine supply. https://t.co/NV9xayo8FY,neut,pandemic-logistics,ca
