text,sentiment,labels,ca_related
"The emergence of #omicron spotlights the need to boost vaccine access in low-income countries - as discussed last month at our conference on #IP &amp; #COVID19 medications, co-hosted w/@HKUniversity, @oneillinstitute, @GeorgetownCAL &amp; @GtownTechLaw. https://t.co/3XYS0niNLx",pos,vax-logistics,non-ca
"Movie Theaters Can Attract More Customers With Vaccine Mandates, Lower Ticket Prices, Study Finds https://t.co/b00Oy85b3y",NA,NA,NA
"Predicted by @OldMooresAlmana for 2022 - Covid passports will become a way of life and people who don’t want to have the vaccine will form their own communities and start whole new towns based around their values. #Ireland You read it here first!
https://t.co/7jDLnCcJOt",neg,antivax-args,non-ca
Get the vaccine but it is unclear if the vaccines work against Omicron. More science up in here..... https://t.co/vzQ09bPriD,neg,vax-efficiency,na
"A lot of Delphi technique going on at the moment. Vaccine passports will not be introduced anytime soon. The threat of it however, will get you to concede your position to something slightly less threatening...for another generation to deal with",neg,antivax-args,non-ca
"Republican Dismisses Vaccine on Fox News, Praises It on CNN in Breathtaking Flip Flop https://t.co/3URQyRRRoH via @Yahoo",neg,antivax-args,non-ca
This text service makes it easy to find a COVID vaccine or booster near you &amp; even a ride if you need one! #COVID19NC https://t.co/jxT7wet29d,pos,vax-logistics,na
We don’t know anything about it yet…but Pfizer and Moderna say they expect to have new vaccine for omicron variant any day now! Bet it will work great,pos,vax-efficiency,na
"unless you live in the state of texas, no vaccine, testing, or quarantine requirements 🇺🇸 https://t.co/Uf0ZMKEhpw",pos,vax-legal,non-ca
Australia's word of the the year is phonetically satisfying  — and very frustrating. https://t.co/LlPx0Qr7o0,NA,NA,NA
Why you need a vaccine when your body can fight it https://t.co/lyPRnLkfTq,neg,antivax-args,na
"As of November 27, 61.6% of Sacramento County residents have been fully vaccinated, meaning they have received both doses of Pfizer or Moderna, or one dose of the Johnson &amp; Johnson vaccine.

More updates ➡️ https://t.co/sqPwduYX4u https://t.co/uvCzhKId2P",pos,vax-logistics,non-ca
The news so depressing I don’t even watch it. I’m so tired of hearing about covid it’s a new variant every week. That’s why that vaccine is bullshit .,neg,vax-efficiency,na
"The new mask mandate is an official admission that the vaccine has failed.
Where we go from here I don't know.
Letting blood?
Leeches? https://t.co/4jbvZAWfj5",neg,vax-efficiency,na
"House Minority Leader Jim Townsend, R-Artesia, on mask and vaccine requirements for entering Roundhouse.

""I think we just ought to recognize that most people don't need some politician telling them what they need to do in order to make tge right decision."" #nmleg",pos,vax-logistics,non-ca
"Where's #Florida on this list, @GovRonDeSantis? Please get us on this list. #desantis

https://t.co/fBdR9E1a2X",NA,NA,NA
Everyone be scared the moronic variant of covid is out and the vaccine doesn't stop it. Nor did it ever stop anything but let's get another covid shot and everyone stay away from friends and family and live in fear for the rest of your lives !!,neg,antivax-args,na
"State championship #delhs football info. All 4 games at UD. 11am Class 2A; 1:30 Unified; 3:30 Class 3A; 6:00 Class 1A. 1 tix good for all 4 games: $10 GA, $20 for club seats. On sale next week through UD. Proof of vaccine or neg Covid test within 72 hours required for entry.",neut,vax-logistics,non-ca
"TONOPAH COVID-19 Vaccine Clinics on Tuesdays, PAHRUMP clinic on Wednesday. Booster doses and flu vaccines available.

Pfizer (ages 5+), Moderna (18+) and the 1-dose Janssen (18+) will be available at all vaccine clinics.

See flyer for details
@ImmunizeNV @NVHealthRespon1 https://t.co/2mlfYh47EB",neut,vax-logistics,na
I was ordered to take a flu shot while in the Air Force in 1978. I was the bed ridden for a week. I haven’t taken another flu shot. I got Covid-19 in April 2020. That was the sickest I’ve ever been. God delivered me. I also won’t be taking a vaccine. Thanks. God bless. https://t.co/xYtUKJ3YFj,neg,antivax-args,na
"#Vaccine #Mandates #Jobs #Coercion #Pfizer @pfizerinc #JoeBiden @joebiden @senatorrandpaul @repthomasmassie @realmarjoriegreene @tedcruz @repnancymace @ White House, Washington DC https://t.co/kbcrAaWh4o",neg,vax-legal,na
Pentagon threatens to “decertify” the Oklahoma National Guard if commander doesn’t reverse his ban on COVID vaccine mandate https://t.co/QdRMVLJeBy,neg,vax-legal,non-ca
"There’s an open call for a Postdoctoral Fellowship, within the project ""The response of immunocompromised people to COVID-19 vaccine"", funded by AstraZeneca.

The deadline for applications is December 2nd, 2021.

For more information, please visit https://t.co/7VGyImZB6C https://t.co/2szt4SPXEO",neut,vax-efficiency,na
All I know is I ain’t getting no mo damn vaccine shots. I don’t give a fuck who’s requiring it,neg,antivax-args,na
".@TCMIndy is addressing #CovidVaccine  misconceptions and myths, ahead of a vaccination clinic at the museum on Thursday: https://t.co/9Al39ZlW2i",pos,vax-logistics,na
"I found this on NewsBreak – the #1 local news app used by 45+ million people: 4 GOP-controlled states are changing their unemployment laws to allow those defying COVID-19 vaccine mandates to get benefits
https://t.co/xmjAbvfOCB",neg,antivax-args,na
I would love to know who their sample was.  Every pediatrician I have met leapt at the chance to vaccine their children #vaccineswork https://t.co/Ppa0WplY2t,pos,vax-efficiency,na
Here you… past vaccines no good to new shizzle vaccine variants.. roll your sleeves up sheeple.. time for another booster https://t.co/nub1pFrqaZ,neg,antivax-args,na
"In Idaho there has been a long fight to add LGBT workplace protections to prevent folks from being fired for their sexuality. Well the Idaho House just voted to add those protections, but for anti-vaxxers instead. https://t.co/LtKt0z40Le",neg,vax-logistics,non-ca
"""Whenever you hear someone draw a comparison to past vaccination programs like Smallpox or Polio, inform them that the vaccine . . .""
https://t.co/MWHvYEL571",neg,antivax-args,na
"After just three days, Waterloo Public Health says 10 per cent of children aged five to 11 from the area have received a dose of COVID-19 vaccine. https://t.co/E7fH1u80uf",pos,vax-logistics,ca
"Please follow this Swedish master of all things vaccine, @CeciliaNordens1, and please do bookmark her blog.

Fascinating research and thoughtful questions. https://t.co/S0n39OZ2wM",pos,vax-efficiency,non-ca
Pfizer sues former employee for allegedly stealing Covid-19 vaccine documents https://t.co/IZvnjQMhYe via @statnews @pharmalot,neg,vax-legal,na
This 11 year old getting first #vaccine in tears 😭 cuz they wouldn't let her use the 🚽 (they finally relented) https://t.co/g8pAe4VwGs,neg,antivax-args,na
"Federal judge blocks Biden vaccine mandate for health care workers in Missouri, 9 other states #SmartNews  Wonder of Wonders. All these states are red. #GetTheVaccine https://t.co/QtilLPXWu2",neg,vax-legal,non-ca
"Vaccine mandate for health care workers halted in Missouri for now, judge rules https://t.co/QmECfRbj8s",neg,vax-legal,non-ca
"Please do not take the vaccine rather get your Covid-19 Vaccine card without the vaccine

We offer to all countries
👉 CDC covid card for USA
👉 NHS covid pass for UK
👉 Canada covid pass
👉 Australia digital covid certificate
👉 EU digital covid certificate https://t.co/GGXHHKBhlx",neg,vax-legal,non-ca
Biden Administration Tells Federal Agencies Not To Suspend or Remove Federal Workers Over Unconstitutional Vaccine Mandate https://t.co/8tgkyLVPsP,pos,vax-legal,non-ca
"Thousands of people double vac with booster, are now severely on with COVID-19, surely now can people not see the vaccine ain’t worth nothing, and it’s all a big con",neg,antivax-args,na
"So says the anti mask, anti vaccine, anti mandate imbeciles of the craven @GOP whose every word and action is designed to weaken any and every Covid response. #GOPKills https://t.co/y9Uqhdob3l",pos,antivax-args,non-ca
"I don't make the Rules. You don't make the Rules.  Let's stop arguing against each other.  I'm going to do that starting Now.  The Division is harder on my heart and head than any virus, vaccine, mask or isolation ever were.",pos,vax-logistics,na
"#coronavirusUS #COVID #COVIDIOTS Through deaths #lockdownextensions, raised #suicides #domesticviolence, #sexualabuse unemployment etc. #Covid_19 has caused havoc. #Hunger &amp; #riots R awaited. No drug no #vaccine STOP IT. Take advice https://t.co/Q9gFNSRYsp https://t.co/hMwlss70uz",neg,antivax-args,non-ca
"Parma, Italy.

Protesters are carrying pictures of the vaccine injured and dead to tell Italian politicians they will not tolerate this medical tyranny any more. https://t.co/gtahKvdKni",NA,NA,NA
"Live on #JoyNewsPrime

Ghana will ramp up its COVID-19 vaccination campaign next month and make the vaccine mandatory for targeted groups including all public sector and health workers from Jan. 22, health service Director-General Patrick Kuma-Aboagye said on Sunday. Ghana,",pos,vax-logistics,na
"Same COVID Different Funding, why sell one Vaccine when you can sell 4. C'mon even the greatest covidite must now be beginning to see a pattern.
This stopped being #COVID19 after Flatten the Curve, its now for power, control, and money? #CovidVaccine #DeltaVariant #OmicronVariant https://t.co/6DulyDZFLS",neg,antivax-args,na
"Some #LGBTQ+ #people #worry that the #COVID19 #vaccine will affect #HIV #medication. It won’t.

#Women #Transgender #LGBTQIA #Healthcare #Health #Covid19 #HIV #AIDS
https://t.co/X6ukyphwx8",neut,vax-efficiency,na
A booster every 3 months is not good enough. With the ammount of variants we are seeing our bodies will need monthly vaccine updates. https://t.co/547qjDHH5w,neg,vax-logistics,na
"Covid Briefing: UK reports 42,583 cases booster jabs offered to all adults. As More people still needing jabs...and are refusing,
And Yes People Are Needing to Cancel their Christmas Holiday get Aways 😘👌🏼

https://t.co/lLixlokSCU",neg,vax-logistics,non-ca
"We have no money for nurses' raises, 10 paid sick days, proper ventilation in schools, or a timely rollout of third doses of covid vaccine, but Ford has endless time and (our) money to throw in the direction of the Cortelluccis and others of his donor pals. https://t.co/8Y6bteQuVn",neg,vax-logistics,non-ca
"All I remember is I took the vaccine then woke up 3 days later, at least this time my mom couldn't scold me for sleeping too much tho",neg,antivax-args,na
"The doctor heading India's vaccine rollout today defended the decision to delay a roll out of booster doses in the country. ''What is true for Israel, for Europe or North America may not be truly... https://t.co/JGbYZF2BM7",pos,vax-logistics,non-ca
"Dr. @JReinerMD of @GWpublichealth  remains clear in public health messaging that the only newsworthy component currently coming from the #Omicron variant is #COVID19 vaccine hoarding is occurring which means Africa needs equitable support not useless travel bans.
@WHO @WHOAFRO https://t.co/R1vDn3IHAt",neg,vax-logistics,non-ca
".@FoxNews,can you stop lying about the vaccine?After all,we can see that it doesn't work. Worse,the most vaccinated countries have the highest number of C19 deaths. The statistics are widely available and you can see that Africa is doing the best. https://t.co/Z5Vxf3QuzN",neg,antivax-args,non-ca
"Today @China, @fauchi and the @joebiden administration are responsible for over 5 million worldwide, 777 thousand US covid-19 deaths and 100 thousand drug overdose deaths.. Also FAILED mask and vaccine policies. @Pelosi
@CNNPolitics @ABCPolitics @newsmax",neg,vax-logistics,non-ca
"Even though there IS a free vaccine that gives significant protection from CV19, some ppl are willing to suffer the illness and risk 'long covid' and even death just to ""own the Libs""!!
SMH https://t.co/CnZOxz1bcF",pos,antivax-args,na
"Federal Judge blocks New York state vaccine mandate for health care workers

https://t.co/gfJNRPHq9b",neg,vax-legal,non-ca
"The whole of the Royal Family are not worth #HarryandMeghan. They’ve been right and stood by the right causes throughout, whether it be vaccine equity, waiving vaccine IPs, lasting effects of colonialism on commonwealth nations, inclusion and diversity, media abuse. All. Of. It. https://t.co/TUZuuiDWch",NA,NA,NA
"BREAKING: FEDERAL JUDGE BLOCKS BIDEN’S VACCINE MANDATE IN 10 STATES THAT HAD BROUGHT THE FIRST LEGAL CHALLENGE AGAINST THE REQUIREMENT
(AP)",neg,vax-legal,non-ca
Washtenaw County Offers COVID Vaccine Recalls Every 18 Years and Over https://t.co/uHAj8t5lw4,pos,vax-logistics,non-ca
The impressive Kate Bingham led the Vaccine Task Force in making truly effective pandemic investment choices for the UK in 2020. Looking forward she warns against the ethos that rewards churn and fails to get civil servants and Ministers with STEM skills: https://t.co/q6wCcD4HYI,neg,vax-logistics,non-ca
"Reeves: Individual choice for vaccines OK, but not for abortion - Mississippi Today https://t.co/Cj1XCZ59ID",pos,vax-legal,non-ca
"The agency did not get approval from Congress to mandate vaccinations for health care workers, Schelp wrote, and the rules were issued without a standard period for public comment.  https://t.co/ck0UoO2nwl",neg,vax-legal,non-ca
BREAKING: Federal Judge Halts Biden’s Vaccine Mandate for Health Care Workers https://t.co/NFqVqW6aNh via @greggjarrett,neg,vax-legal,non-ca
Still find it funny that people won’t have the vaccine because they think it’s dodgy,pos,vax-efficiency,na
"Judge Blocks Biden Administration’s COVID-19 Vaccine Mandate for Health Care Workers

https://t.co/M1OLhFwH1k",NA,NA,NA
"AT LAST! A scientific discussion between 4 expert vaccionologists. You will be shocked at their common concerns!!!
https://t.co/criqukjh3z",neg,antivax-args,na
"Sharing for our friends at Grant County Health District.

Upcoming vaccine event in Soap Lake!
Sign up here: https://t.co/Tx7Klj8AzZ

The cost is free, and no insurance is needed. https://t.co/FNhwBsQxtG",pos,vax-logistics,na
"Me with pre-Covid kid: to meet/see him you must have a TDAP, and a flu shot would be nice

Me with 2 years into Covid kid: to meet/see little girl you must have TDAP, flu shot, both doses of Covid vaccine. Booster a plus. Please bring proof of all 😅",pos,vax-logistics,na
"BREAKING: Federal judge HALTS Biden’s vaccine mandate in 10 states that had brought first legal challenge against requirement.
- Missouri
- Nebraska
- Arkansas
- Iowa
- Wyoming
- Alaska
- South Dakota
- North Dakota
- New Hampshire
- Kansas

#FJB #Bidenflation #BidenIsARacist",neg,vax-legal,non-ca
"Federal judge blocks Biden vaccine mandate for health care workers in Missouri, 9 other states https://t.co/eefKEdBAqh #SmartNews",NA,NA,NA
A List Of People Who Had Their Leg Amputated Shortly After Receiving COVID-19 Vaccine https://t.co/CN27n73VFa,neg,antivax-args,na
"ASHT has put together information on the CMS and OSHA vaccine requirements.

There is speculation about whether these requirements will ultimately be mandated due to lawsuits and appeals; however, in the interest of being prepared, here is what we know: https://t.co/iVMWksbDHJ. https://t.co/LyBTRdRk2u",pos,vax-legal,non-ca
"US Dictionary Merriam-Webster Declares 'Vaccine' As Word Of The Year https://t.co/mngPkr7bSA The American dictionary of reference Merriam-Webster on Monday revealed ""vaccine"" to be its word of the year for 2021, reflecting both the hopes and deep divisions sparked by vaccinatio… https://t.co/OauZOMDZ7X",neut,vax-legal,non-ca
"This is what is fueling Covid19 in all its variants including #Delta #Omicron in the USA, EU, UK etc. Its airborne. It's not Southern Africa as the world is being misinformed. Vaccine imperialism is in play in all this. https://t.co/SkUUZdzUSx",neg,omicron,non-ca
Ladies and gentlemen I give you our caring vaccinated vaccine pushers @jimmy_viz and @DoctorLunge aren’t they just so sweet and caring? They wear a mask and get vaccinated to protect you. Nothing to do with their fear. Sad proof of what we are dealing with @fly_girl7 https://t.co/xsUrpnJUwf,pos,vax-logistics,na
Judge Matthew T. Schelp of the Eastern District of Missouri granted the injunction against the Centers for Medicare and Medicaid Services. https://t.co/lONjNLGsp3,NA,NA,NA
"China to provide 1 billion Covid-19 vaccine doses to Africa in 2022. 600 million will be donated, the rest will be produced by Chinese-African joint ventures.

I for one look forward to watching the Western media try to frame this as Chinese 'imperialism'

https://t.co/gq09e0oGlQ",pos,vax-logistics,non-ca
What is the word for people who want to vaccinate their kids when they know full well their vaccine is no longer effective and need boosters?,neg,antivax-args,na
MARTINIQUE * FREEDOM FIGHTERS against FRANCE STATE CRIMINALS * 250.000 against FRANCE VACCINE CULTURA IMPERIALISM * GOOD LUCK PATRIOTS https://t.co/6QSI9DB3ZI,neg,antivax-args,non-ca
Federal judge's ruling halts vaccine mandate for health care workers in Arkansas https://t.co/gOEeNxcBDn,neg,vax-legal,non-ca
"Justice Breyer rejects request to block Massachusetts hospital's vaccine mandate.

Bye bye Covid-19 cult followers.

https://t.co/dYz9StSRIK",pos,vax-legal,non-ca
"China to provide 1 billion Covid-19 vaccine doses to Africa in 2022. 600,000 will be donated, the rest will be produced by Chinese-African joint ventures.

I for one look forward to watching the Western media try to frame this as Chinese 'imperialism'.

https://t.co/gq09e0oGlQ",NA,NA,NA
"Federal employees who have not complied with the coronavirus vaccine mandate will not face aggressive discipline including unpaid suspensions or firing until at least early next year, according to guidance from the White House sent to unions. https://t.co/3CQ8XHluYV",pos,vax-legal,non-ca
"https://t.co/ZQbVLBk2jT
How can they say this has nothing do with the clot-shots when muscle spasms are a KNOWN side effect?!  All of my muscles locked up and I now have increased chronic head pain.  #VaccineSideEffects #vaccinedeaths #VaccineMandates #FauciForPrison",neg,antivax-args,na
"With a prospective vaccine in the pipeline, hope grows that an effective treatment for Alzheimer’s could become reality https://t.co/fZE4ExmXWd via @GeneticLiteracy",pos,vax-efficiency,na
"A handful of rich states - including the UK - are blocking vaccine IP waivers, hindering a global rollout + prolonging the pandemic. This is racial capitalism in action + it’s deadly.

I spoke to @OwenJones84 about why we must back @peoplesvaccine demands.https://t.co/QEFUkaVFPu",neg,vax-logistics,na
For a vaccine that doesn't stop you getting it or spreading it. The gaping holes in their logic is alarming but still we comply. https://t.co/CmeB0Ff2oM,neg,antivax-args,na
