,text,sentiment,labels,ca_related
,"@CBCNews It's not a vaccine if it's on subscription model 
It's a shot.
A forced one.",neg,covid-controversy,ca
,@BrinkoftheWorld @CBCAlerts Perhaps because persons entering the country from those nations have been identified as having the new variant.  They also have an appallingly low vax rate-even though S.A. has enough vaccine.,neg,covid-new-variant,non-ca
,"@wandering_nick @globeandmail If your vaccine is so strong, why do you need 3 doses of it in less than a year...?🤔🤷🏽‍♀️ And why did a fully vaxxed man STILL get the Omnicron variant...?🤔🤷🏽‍♀️ Riddle me this...🤷🏽‍♀️ https://t.co/YTz1dqKOlf",neg,vax-efficiency,ca
,"@matt_hoog @CBCNews @GovRonDeSantis You should look at deaths and cases per capita and see how well they are doing versus places with the strictest restrictions, it shows that masks and vaccine mandates and passports do nothing. Everywhere has deaths and are going to have deaths but they made the right decisions",neg,covid-controversy,ca
,"@CBCNews Yes because this biggest problem rn!!! This!!!! Not the fact have endless lockdowns and mask/vaccine mandates and y’all still somehow let the new variant spread. And the fact that BC is turning into the Atlantis and the sky high gas price, but no political correctness comes first",neg,covid-new-variant,ca
,@pledge420 @michelle1206 @brianr1287 @CBCNews Wrong. These vaccines don't immunize you so the virus mutates to escape the vaccine.,neg,vax-efficiency,non-ca
,"@kevlarbieska @PatriotLov @CBCNews I can try harder...Its not a stretch to say a few doctors would refuse patients who refuse to take the mRNA vaccine given our current situation of divide and conquer, amplifier by our current Libtard government. https://t.co/sBvtOAdTfq",neg,covid-controversy,non-ca
,"@nationalpost He’s obviously only saying this so that he can hype and sell billions of the company’s next vaccine, that will no doubt be 100% effective against Omicron!",neut,covid-new-variant,non-ca
,@picardonhealth @CBCNews Anti vaccine protesters want freedom of choice.  They should acknowledge that and allow the vaccinated their freedom of choice to get a vaccine. But they don’t. These aggressive demonstrators simply reflect their limited intelligence and lack of social conscience,neg,covid-controversy,ca
,"@TalonXavier_ @hsmcknight @Murcut @CBCNews Anti-vaxxers just want to live completely free of any consequences.  It's the dumbest, most selfish thing I've ever seen.  Don't want the vaccine?  Don't get it.  But understand that there are consequences to your actions.  Quit being petulant children.",pos,covid-controversy,ca
,@PTehrooni @CBCNews Vaccine donations wouldn't be necessary if patents were lifted. This would likely be over already if that was the case.,neut,pandemic-logistics,non-ca
