tweet_id,text,sentiment,labels
1.464971979014951e+18,"@MLGG2 @TheTorontoSun @fordnation @JustinTrudeau @PHAC_GC @TOPublicHealth @PublicHealthON @OttawaHealth @BBCWorld @WHO @hrw @globalnews @AOC the usa/fauci infected a mouse so they can use the vaccines for this 👇
listen to beck https://t.co/idh9iYN5lR
there is no pandemic, quit saying there is-

 https://t.co/dqk5slgObY https://t.co/YpXFsmImU6",,
1.4649584025940214e+18,"@CPHO_Canada You're being distracted &amp; divided by #Variant news #MSMLiars &amp; bureaucrats. 
Controlled &amp; herded into Vaccine passports, which will become your digital ID permission to enter only the parts of your life your government will allow.
Wake up! It’s time to say “NO!”
#covidvariant https://t.co/0l9AOyoXaX",,
1.4649583183429263e+18,"@CPHO_Canada MEDSCAPE POLL: One in three doctors won't give Covid-19 vaccine to their own kids

https://t.co/PIPpDxIImq",,
1.4649581983522816e+18,"@CPHO_Canada Why are you pushing / mandating (illegally) a drug still in clinical trials? 🤷🏻‍♀️

Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals - Full Text View - https://t.co/30vzVZM6tS",,
1.4649580193435525e+18,"@CPHO_Canada Please share the source material you are relaying on to say this vaccine is safe and effective. FDA says it wants 55 YEARS to process FOIA requests about #COVID19 vaccines - meaning data may not be available to the public until 2076.

https://t.co/hXdabpIQAb",,
1.464955317842858e+18,"@slbell59 @JustinTrudeau Lol 😆  they all know vaccine doesnt do shit, and nothing will change. Until they say so. Or until we all unite and say no to more jabs and restrictions.",,
1.4649548416045793e+18,"@CPHO_Canada MEDSCAPE POLL: One in three doctors won't give Covid-19 vaccine to their own kids

https://t.co/PIPpDxIImq",,
1.4649546680149975e+18,"@CPHO_Canada Why are you pushing / mandating (illegally) a drug still in clinical trials? 🤷🏻‍♀️

Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals - Full Text View - https://t.co/30vzVZM6tS",,
1.4649440441450043e+18,@JustinTrudeau please we all need the booster Vaccine ( Covid) thank you,,
1.464927567249658e+18,"@JustinTrudeau @CPHO_Canada @TimHoustonNS @nsgov @NSHumanRights @MaximeBernier 
Gov needs to realize science and facts are telling you this is wrong. Herd immunity wins, not spending and mentally draining rules. .00017% have C19, no pandemic here.
https://t.co/MBbO1PUhQE",,
1.464927207122522e+18,"@4AnimalLife @Crossfittrades @JustinTrudeau @mikalche If I listened to the media I should basically feel less safe now that I have my shots, not more safe.

It's such an easy twist to make and so many people are buying in.

Fear the unvaxxed, shame them and exclude them. You vaccine does not *really* protect you from them.",,
1.4649010937381317e+18,@JustinTrudeau Your Excellency we all know that the variant will always be there as the virus mutate  and we have told that vaccine is the weapon  to fight against the pandemic  unless we are now doubting our own vaccines . Therefore there is no need to panic as we do have vaccines. Tx,,
1.4648942061834117e+18,"@slbell59 @JustinTrudeau It won't stop the pandemic.  More vaccinated just means more bodies to incubate vaccine resistant strains.  Which leaves the sick and elderly more at risk, since the government is grossly incompetent and they're not being properly isolated.",,
1.4648664386576753e+18,"@MLGG2 @TheTorontoSun @fordnation @JustinTrudeau @PHAC_GC @TOPublicHealth @PublicHealthON @OttawaHealth Problem is, there is no actual vaccine, Martha, only experimental injections.  And people like Brian don’t have the guts to mention a word but keep up the BigPharma and Canadian politician’s support of the UN WEF New World Order #eugenicists",,
1.46486577386471e+18,@JustinTrudeau @jyduclos @CPHO_Canada @BobBenzen @jkenney @JasonCoppingAB @CMOH_Alberta Please don’t ignore vaccine adverse reactions https://t.co/9p7S6ZI30E,,
1.4648516669733847e+18,@JB88000 @barkhausmedia @CPHO_Canada I didn’t vote for the little blackface fascist so make me accept it. Is coercing half the country into taking a useless vaccine that clearly isn’t working how your democracy works? 🤡,,
1.464850147574272e+18,"@CanBorder #arriveCAN
My mother in  will start flying from Chile to Canada at 01.30am 30.11.21. Arriving 23.50pm on 30.11.21 in Montreal.
She cannot  complete the information in arrivecan because the application has not updated the authorization of the sinovac vaccine. Please help!!",,
1.464821279312122e+18,@RealCandaceO @JustinTrudeau there you go clown. Make the country take another vaccine that is killing people,,
1.4648171674933862e+18,"@JustinTrudeau @fordnation when will booster shots be widely available in Ontario? A lot of us are past or are coming up on 6 months post-vax and the data seems to show we need boosters around 6 months post-vax
https://t.co/BDDYu777FE",,
1.4648088311128064e+18,"@JustinTrudeau No measurement for #Omicron variant??
🇨🇦 has a high possibility to have it because vaccinated foreigners can enter 🇨🇦 without PCR tests when they land.
“Only vaccine” strategy won’t work and make situations worse for #Omicron variant.",,
1.4648024035809894e+18,@SammyG_MD It’s time for @JustinTrudeau and the @liberal_party to actually enforce vaccine passport requirements on flights! Right @WestJet and @AirCanada ?,,
1.4648017081194043e+18,"@Marco2Imagine @NursesCanadian @Bret_Sears @ctharrigan @Ron_Nowlan_PPC @JackMinorPPC @AgnesMinor @cdn_nicholas @QofNB @char_krieger @rbvaughan @NBFreeProject @JustinTrudeau @premierbhiggs In any case protest all you like. I truly have sympathy for your group, as I would for anyone who listens to the fringe loons instead of the science. 
But just stay away from hospitals and vaccine clinics please.",,
1.4647972957661184e+18,"@fsorbara @randeepssarai @City_of_Vaughan @cafreeland @UKRinCAN @Yvan_Baker @vankayak @HonAhmedHussen @pfragiskatos @Ukraine @JustinTrudeau @HolodomorMuseum New York ER Closes As Employees Refuse To Comply With #VaccineMandate | ZeroHedge
https://t.co/1wTzNRgQi9",,
1.4647818114650808e+18,@LimaAbedin @JustinTrudeau The foundation of the economic rebuild is the vaccine. He’s all but telling us as much. It has nothing to do with health.,,
1.464777756596527e+18,"@6_levy @JustinTrudeau @GovGPAA Covaxin is a vaccine made in India.

We have four (4) others here in Canada that have better efficacy than Covaxin.

Why would you want a vaccine that provides less protection?

And dragging feet for months?
Canada has one of the highest rates of vax'd in the world...",,
1.464772055832748e+18,@CPHO_Canada Maybe your vaccine doesn't work? Have you considered this yet?,,
1.4647694022813778e+18,"@ChrisBarnesArt @Crossfittrades @JustinTrudeau @mikalche 1930s Germany resulted in the Holocaust, that's why; and many anti-vaxxers are egregiously comparing vax mandates to that.

Vaccine mandates are not ""fascism"" like you imply. Several provinces require them to attend school. George Washington mandated US troop smallpox inoculation https://t.co/8xtbOLRy7Q",,
1.464761212877611e+18,"@CPHO_Canada I think Omicron reinforces the need for MUCH MORE research cuz sounds like y’all have no clue what’s happening, only the need for increased vaccine shots!",,
1.464756474668716e+18,"@JustinTrudeau And give them myocarditis? 600 kids died in the USA from the vaccine,  0 kids have died in Canada from the virus.... why would i do this to my kid exactly Justin?",,
1.4647525335497646e+18,"@JustinTrudeau You discriminate against anyone hesitant on getting the vaccine,  you've Segregated and divided our country,  you've had 2 years to fight the virus after you promised it'd only take a few weeks to beat the curve. And not even a week back in Parliament your back to Zooming online.",,
1.4647513483611791e+18,"@CPHO_Canada Why are you pushing the vaccine but then not trusting it by setting an order date that expires in 2months. Follow Englands lead ,they will re-evaluate in 3weeks. If the vaccine is effective then why treat the vaccinated population that followed you order in this manner.",,
1.4647512744406712e+18,"@JustinTrudeau You failed Canada ,failed as a feminist ,failed at foreign affairs ,failed the aboriginals ,failed  economy ,failed as drama teacher , now u wanna fail our children with a vaccine that they don’t need and clearly doesn’t work or last as advertised.",,
1.4647507898014884e+18,"@ChrisBarnesArt @Crossfittrades @JustinTrudeau @mikalche Don't compare public health measures like vaccine mandates—which are to keep the populace healthy and alive—to 1930s Germany or the Holocaust. It's gross, sick, and historically wrong.

As I said, that unethical idiot politicizes science.
https://t.co/VJ8dGN15Ca",,
1.464747704324477e+18,"@LA_Stoffel @JustinTrudeau As usual Trudeau is a day late and a pound short.That’s his M.O. just like with the vaccine roll outs. And people die.And when we ask him what he’s going to do about it in the future? His reply, he’s going to change the climate LMFAO. Climate is his cover for unaccountability.",,
1.4647468861501112e+18,"@ChrisBarnesArt @Crossfittrades @JustinTrudeau @mikalche Dude, if you're not vaccinated, suggest you do asap. COVID can destroy your lungs and other organs. Ffs it's safe and effective—59 million vaccine doses administered in Canada to date. We're *fine* and protected from severe COVID and death. It's not worth your life to be stubborn https://t.co/ViWDaJQwUH",,
1.4650995472779387e+18,@CPHO_Canada @WHO Here we go again with the lies and fear porn. You are just using this to try and cover up all the vaccine injuries..  you are a criminal.,,
1.465099364909478e+18,"@hiwaydispatch @CityNewsVAN @JustinTrudeau Oh, they’re already saying a new vaccine  in the next 100 days",,
1.4650940363987436e+18,@JustinTrudeau money from Big Pharma by not sharing the vaccine patent to vaccine as much as the world as possible before the next pandemic hits? Asking for a friend (2),,
1.465092858411733e+18,@DreaHumphrey @CrowellMb @JustinTrudeau The nurses and doctors can go work in the 41 states that don’t have vaccine mandates.,,
1.4650923718137403e+18,@JustinTrudeau Mandate this stupid man child ur vaccine that cost ur soul not working biggest con scam yall pulled wake up folks https://t.co/WtcS0rBXsc,,
1.4650917992870134e+18,"@roo_mint @auriga74 @sayers_molly @GardaWorld @CBCToronto @CBCNews @CBCTheNational @TTChelps @JustinTrudeau @CanadianPM @fordnation @JohnTory @TOPublicHealth @epdevilla @cityoftoronto @CHogarthPC @j_maloney @US_FDA @CDCgov @WHO @POTUS @JoeBiden @VP @WhiteHouse @MELANIATRUMP DO NOT VACCINE YOUR CHILDREN.
@cityoftoronto 🇨🇦@TOPublicHealth 

Dr @epdevilla Chief Medical officer🇨🇦
@CP24 @CityNewsTO 
@globalnews @CTVToronto @CTVNews 

@TorontoPolice 🇨🇦@OPP 🇨🇦@RCMPONT 
@JustinTrudeau 🇨🇦@CanadianPM 
Premier of Ontario @fordnation",,
1.465089032921178e+18,"@CPHO_Canada That fact they are still pretending the vaccine slows or stops the spread of this virus is all the proof one needs, this is all a hoax for control.",,
1.4650866127826862e+18,@JustinTrudeau Its time to close borders as other countries are doing now. This new variant is a threat to us as we still have so many people who refuse to have the covid vaccine due to misinformation and beliefs that it is a hoax. We who did are threatened by people who refused!,,
1.465083902901424e+18,@CPHO_Canada Can we please get the airlines to screen all passengers for the vaccine!! Mandate isn’t doing any good if it’s not enforced!! @JustinTrudeau @AirCanada @WestJet,,
1.4650817182730977e+18,@CityNewsVAN Oh here we go again. How many  more boosters do people need with this one @JustinTrudeau 🙄 or will this just be a brand new and improved vaccine??,,
