text,sentiment,labels,ca_related,day,filter_type
"Nothing has made me want a new vax more...
*WHO OFFICIAL SAYS THERE IS NO NEED TO DEVELOP A NEW VACCINE, VACCINE MAKERS SHOULD ONLY DO MINOR ADJUSTMENTS TO CURRENT VACCINES*WHO OFFICIAL SAYS SOME OF THE EARLY INDICATIONS IS THAT MOST OMICRON CASES ARE MILD, NO SEVERE CASES",pos,vax-efficiency,na,01_dec,keyword
"Vaccine mandates were never unthinkable to me, because WE ALREADY HAVE THEM.
#COVID19https://t.co/xB90vIpE9j",pos,pandemic-legal,na,01_dec,keyword
White House: DOJ Will Defend Government's Authority to Promote Vaccine Requirement https://t.co/0qrMIoMbjD,pos,pandemic-logistics,non-ca,01_dec,keyword
"#firstdoseFpizerVaccine
thanks god for make it good and safe my first vaccine in marikina city❤😇 https://t.co/i6WybYmOji",pos,pandemic-logistics,non-ca,01_dec,keyword
"Marcus Lamb, the founder of the Daystar Christian network and #Alabama’s first Christian TV network, WMCF-TV in Montgomery, died from complications of COVID-19, the network announced Tuesday. Lamb, 64, was an outspoken COVID vaccine skeptic.  https://t.co/V0mSKX45E1",pos,covid-controversy,non-ca,01_dec,keyword
That second vaccine tore me up last night. Didn’t sleep and threw up all night,pos,vax-efficiency,na,01_dec,keyword
John Nkengasong has played a key role in acquiring 400 million Covid vaccines for Africa https://t.co/NsK5CwOP8E,pos,pandemic-logistics,non-ca,01_dec,keyword
"24,744 doses of #COVID19 vaccine were given in the last 24 hours, to reach a total of 21,895,945 doses, with a distribution rate of 221.39 doses per 100 people. A percentages of 100% have received 1 dose and 90.49% is fully vaccinated of the population.
#TogetherWeRecover https://t.co/rZUo9PxAYz",pos,pandemic-logistics,na,01_dec,keyword
"Pfizer vaccine will be available at our Gaborone Drop In Centre tomorrow. Unfortunately, only those getting their first dose will be assisted until further communication.",pos,pandemic-logistics,non-ca,01_dec,keyword
"Need to raise further fear about not getting jabbed? Just lump in all COVID infections from before there was a vaccine to come to the conclusion that ""99.98% of [Indiana] COVID-19 deaths"" occurred among the unvaccinated since March 2020.
https://t.co/ySTEeBWOan https://t.co/VJoM4eMauA",pos,covid-controversy,non-ca,01_dec,keyword
"Register for the 12/11 COVID-19 Vaccine clinic at James Blair from 10 am – 1:30 pm. The clinic is offering vaccines for students 5-11, students 12 years or older, their families and WJCC employees. To register and learn more, visit https://t.co/7l5YVVJtaL.",pos,pandemic-logistics,non-ca,01_dec,keyword
It's amazing to think the federal govt had this authority in the first place... #VaccineMandate #alpolitics https://t.co/1vNeyQUsiz,pos,pandemic-legal,na,01_dec,keyword
There are literally a million other things in this world than can alter your dna in more drastic ways than an mrna vaccine ever could https://t.co/iX6Da5T1xY,pos,covid-controversy,na,01_dec,keyword
"A man who damaged a COVID-19 vaccination centre in Gorleston, preventing more than 500 people to get vaccinated, has been jailed for 12 weeks. Read more &gt; https://t.co/aFJ2eWo2XK https://t.co/mUJBKOQoSR",neut,pandemic-legal,non-ca,01_dec,keyword
Vaccine Hesitancy Hurts Covid Fight in Poorer Countries - The New York Times https://t.co/R0d2iOL7wv,neut,pandemic-logistics,non-ca,01_dec,keyword
This communist man says you're fascist if you don't take a vaccine. 🤡🐑🤡 https://t.co/9LCnQGrBx8 https://t.co/HOXMcKC5Pi,neut,covid-controversy,na,01_dec,keyword
"Moderna and Pfizer/BioNTech working to make vaccine for Omicron variant and ""should know within a couple of weeks whether the vaccines need to be changed. If so, both Moderna and Pfizer-BioNTech have said the next version should be ready by early next year."" Bloomberg 12/1/21",neut,vax-efficiency,na,01_dec,keyword
"Social approval can be an important factor in an individual’s decision to get vaccinated. Our new guidance explores this phenomenon and other aspects of the social and behavioral science behind vaccine decisions.

Learn more: https://t.co/V2tFSQNYVF #publichealth #MedTwitter https://t.co/NFnjagXhyq",neut,pandemic-logistics,na,01_dec,keyword
More   VACCINATED are getting  sick  then unvaccinated  ! Remember when you were  told get VACCINATED and you're  protected against  covid!!!now it's  well you can still get Covid and spread it  but it won't  be as bad! They lied then and https://t.co/o3JXttg5p1 VACCINE  for,neut,vax-efficiency,na,01_dec,keyword
"#Israel has said that early research suggests two to three doses of a #Covid vaccine are effective against the #omicron variant which has alarmed scientists worldwide.  The country's health minister said that there was ""room for optimism"" that current vaccines worked on omicron.",neut,vax-efficiency,non-ca,01_dec,keyword
$OGEN - Oragenics shares results for COVID-19 vaccine candidate from second pre-clinical study https://t.co/csjA7kFo6B,neut,vax-efficiency,na,01_dec,keyword
"Something is wrong with @HorizonHealthNB and @Gov_NB's vaccine rollout for 5-11.

The govt vaccine booking site wasn't updated for days after announcing we could book. If you visited the site during the briefing (as I did) you saw the following: https://t.co/pBtj6aXlh2",neut,pandemic-logistics,na,01_dec,keyword
"Chicago Public Schools has fired a Marine Leadership Academy staffer after an anti-vaccine letter was sent to parents, CPS officials said.  https://t.co/OEgLu4B64e",neut,covid-controversy,non-ca,01_dec,keyword
"‘Don’t freak out’ over omicron, says chief of covid vaccine
maker BioNTech  https://t.co/e8VrVqDJE9
It's a notably different tone than taken by Moderna&amp;rsquo;s CEO St&amp;eacute;phane Bancel, who predicted existing vaccines wouldn't be as effective against omicron.",neut,vax-efficiency,na,01_dec,keyword
"$GOVX December 01, 2021 09:00 ET : GeoVax Presents #COVID19 #Vaccine Data at the World Vaccine &amp; Immunotherapy Congress
#omicron #covidvariant #SARSCoV2 #lowfloater #NASDAQ
https://t.co/T1MNdraVM5",neut,pandemic-logistics,na,01_dec,keyword
Moderna CEO Says COVID-19 Vaccine Likely Less Effective Against Omicron https://t.co/4nL5wtooyw via @dailycaller,neut,vax-efficiency,na,01_dec,keyword
"Several Potential Crash Moments within 2 Weeks

Supreme Court Ruling - Roe vs. Wade
CR Funding
Debt Ceiling
Build Back Better Bill
Omicron
Vaccine/Antiviral Efficacy Updates
Jobs Report
Home Sales
Retail Sales
Manchin
The Unspoken Hearing",neut,covid-new-variant,na,01_dec,keyword
Here's which Ottawa schools are hosting COVID-19 vaccine clinics for kids this week https://t.co/zYkRLwsGfT via @ctvottawa,neut,pandemic-logistics,ca,01_dec,keyword
"Can the CEOs stop giving statements to protect their share prices from crashing, and share publically the data they base the claims on @BioNTech_Group #OmicronVarient  #vaccine_efficacy https://t.co/6biBc392YK",neut,vax-efficiency,na,01_dec,keyword
"I'm not taking the vaccine because I'm young and healthy. I'm not anti vaccine and I don't believe in conspiracy theories.

However, I truly hope there is some thalidomide reaction waiting for all you smug arseholes who decide everyone who doesn't want vaccinated is an idiot :) https://t.co/xt1M8vROaf",neut,covid-controversy,na,01_dec,keyword
"DeItaone: FRENCH GOVT SPOKESMAN ATTAL ON COVID: PEOPLE COMING INTO FRANCE FROM OUTSIDE THE EUROPEAN UNION WILL HAVE TO HAVE NEGATIVE COVID TEST, REGARDLESS OF VACCINE STATUS",neut,pandemic-logistics,non-ca,01_dec,keyword
"For the record, I don't care whether you take the vaccine or not - your body, your choice.

It's also not important what your politics are - if we agree on the existential threat that Gender Ideology represents to us all, then we're good. We can sort all that out later!",neut,covid-controversy,na,01_dec,keyword
"i just got vaccine today.
me ; im shoooooooooo dizzy rn im not gonna do anything ,just stay in my bed

school reality ; tomorrow is ur final exams bahlul 😪",neut,vax-efficiency,na,01_dec,keyword
"$GOVX #COVID19  #StocksToBuy  #lowfloater pre-market 🆙8% 🧐🚀
#omicron #SARSCoV2 #coronavirus #CovidVaccine
PR just out https://t.co/T1MNdraVM5",neut,covid-new-variant,na,01_dec,keyword
