,text,sentiment,labels,ca_related
,"@CBCNews It's not a vaccine if it's on subscription model 
It's a shot.
A forced one.",neg,covid-controversy,ca
,@BrinkoftheWorld @CBCAlerts Perhaps because persons entering the country from those nations have been identified as having the new variant.  They also have an appallingly low vax rate-even though S.A. has enough vaccine.,neg,covid-new-variant,non-ca
,"@wandering_nick @globeandmail If your vaccine is so strong, why do you need 3 doses of it in less than a year...?🤔🤷🏽‍♀️ And why did a fully vaxxed man STILL get the Omnicron variant...?🤔🤷🏽‍♀️ Riddle me this...🤷🏽‍♀️ https://t.co/YTz1dqKOlf",neg,vax-efficiency,ca
,"@matt_hoog @CBCNews @GovRonDeSantis You should look at deaths and cases per capita and see how well they are doing versus places with the strictest restrictions, it shows that masks and vaccine mandates and passports do nothing. Everywhere has deaths and are going to have deaths but they made the right decisions",neg,covid-controversy,ca
,"@CBCNews Yes because this biggest problem rn!!! This!!!! Not the fact have endless lockdowns and mask/vaccine mandates and y’all still somehow let the new variant spread. And the fact that BC is turning into the Atlantis and the sky high gas price, but no political correctness comes first",neg,covid-new-variant,ca
,@pledge420 @michelle1206 @brianr1287 @CBCNews Wrong. These vaccines don't immunize you so the virus mutates to escape the vaccine.,neg,vax-efficiency,non-ca
,"@kevlarbieska @PatriotLov @CBCNews I can try harder...Its not a stretch to say a few doctors would refuse patients who refuse to take the mRNA vaccine given our current situation of divide and conquer, amplifier by our current Libtard government. https://t.co/sBvtOAdTfq",neg,covid-controversy,non-ca
,"@nationalpost He’s obviously only saying this so that he can hype and sell billions of the company’s next vaccine, that will no doubt be 100% effective against Omicron!",,,
,@picardonhealth @CBCNews Anti vaccine protesters want freedom of choice.  They should acknowledge that and allow the vaccinated their freedom of choice to get a vaccine. But they don’t. These aggressive demonstrators simply reflect their limited intelligence and lack of social conscience,,,
,"@TalonXavier_ @hsmcknight @Murcut @CBCNews Anti-vaxxers just want to live completely free of any consequences.  It's the dumbest, most selfish thing I've ever seen.  Don't want the vaccine?  Don't get it.  But understand that there are consequences to your actions.  Quit being petulant children.",,,
,@PTehrooni @CBCNews Vaccine donations wouldn't be necessary if patents were lifted. This would likely be over already if that was the case.,,,
,"@DanielBechtel7 @the_meghaning @nationalpost I feel you need to read this Daniel. There are factors outside of your control that can lead to severe COVID reactions. Vaccination protects you from those. Relying on exercise and meditation alone is not going to protect you. 
https://t.co/igw0pyipQG",,,
,"@MomsHelper1 @CBCAlerts Wearing clothes = tyranny
Wearing seatbelts = tyrannyNo shoes, no shirts, no #COVID19 vaccine = NO SERVICEThe choice is yoursYour choice may come with consequences BUT it's your choice",,,
,"@Jacquesmj444 @shootadogg @Murcut @CBCNews That's how they changed the definitions, those agains the state should be demonised and now the term is antivax. Please, even though you don't know. Think about what you really think anti vax is. This is not a vaccine, you need 3-6month boosters. Natural immunity is way better",,,
,"@CBCNews Bad policy decision, leaning on the vaccine when we now know it does little in the way of stopping transmission. The only thing that should be accepted is a negative test before boarding.",,,
,"@CBCNews https://t.co/UfhMKm5omT ""The two doctors had received three doses of the Pfizer/BioNtech vaccine""",,,
,@CBCNews It seems that low vaccine rates in Southern Africa have borne fruit and delivered as a much weaker version of the virus to replace the more virulent ones. Thank you for your sacrifice,,,
,@CassandraWasney @CBCNews When you booked your flight online we’re you asked about your vaccine status?,,,
,"@upthedowncycle @dennizenx @CBCNews So if they weren’t designed to prevent transmition what’s the point of the vaccine requirement to travel… the only purpose of that is stop transmission.
Incredibly difficult to combat this level of stupidity #DoBetter",,,
,"@upthedowncycle @trymefool33 @jayrallen @CBCNews The point is that you morons think that your vaccine works only if others have it, too.",,,
,"@llama_survivor @CBCAlerts @BadLegalTakes Restricting the movement of Canadian citizens who have not received a vaccine, that does not prevent transmission, is a charter violation. Save the public health talking points. You’re a drone",,,
,@CBCNews Scare tactic.  Negative tests are most important.  But gets trumped by the vaccine lol people need to be logical now since omicron are all tested on duelly vaccinated some triple vaccinated.  No science in this protocol at all.,,,
,"@footyfan826 @btcbastard @CBCNews Guess what, the vaccine is to keep out Healthcare system from crashing, who tf said it would keep you from getting it lmao",,,
,"Radio Canada discusses my latest @nationalpost column on vaccine equity where I argue the real constraints in many poor countries are logistics, poor leadership and vaccine hesitancy rather than lack of supply or the rich world hoarding them. 
https://t.co/RxQtmRzllc",,,
,@CBCNews You can still board international flights with non-Canadian airlines as long as your destination doesn't require the vaccine.,,,
,@CBCNews Absolutely criminal! We need a vaccine for fascism. Government overreach is the real pandemic!,,,
,@llama_survivor @CBCAlerts @BadLegalTakes Can commercial airliners decline to enforce the vaccine requirement? The limit is not reasonable when vaccinated travelers can spread the virus just as easy as unvaccinated. A charter violation is a charter violation.,,,
,"@jpm168 @unrealsgc @MomsHelper1 @globeandmail how does that work, exactly? do they use Borax or something else? 🤔 
https://t.co/TTVhUSwf8B",,,
,"@SnailsPace5 @CBCAlerts Agreed, should have been done 6 months ago when the vaccine was widely available. Your making a great point. Perhaps, only folks with 3 jabs will be able to travel in Feb? Great points your making.",,,
,"@hartster1 @DDawgly @Drs4CovidEthics @MPDerekSloan @RWMaloneMD @fordnation @JessicaOttani @NewAmericanMag @dockaurG @CBS @CP24 @CBCNews @CTVNews @randyhiller @TrueNorthCentre @VaccineChoiceCA @ChildrensHD @JohnTory @DrP_MD @de_scarf @twtnando88 @cupelocal79 @Local416 @tatianaschild 1. It's a matter of fact mRNA is Gene Therapy &amp;/or Gene Editing as defined by the FDA &amp; most Virologists. No Covid vaccine exists to date. Not by definition. Billions of paper dictionaries prove this. 
What mRNA does is damages your major Organs by the Spike Protein clinching..",,,
